video_id,duration
2ad9d36d334a204a8bec40476171688f,213.0
6b11f01854f0399d87789a6315571466,297.17
4685254f9d4324869ba11d564db57921,343.42
9c9d8a0dbe2ed107341b65533e7ec097,464.98
6f69ff46785c0041d6049617ca382910,307.08
5f29f31ff9f00d3644feb55823a9ad69,424.79
512d5c5cbe0fd59cca62c481725b7f10,379.32
120c6b171f9909315d6abf6c2c047c28,335.48
bd7365ae73eb15840dc5e61b1b770164,201.34
38d92329d49a9e2625c1dffe8503297b,306.09
e3bb3e83d07270e47138cfbe171ee96b,560.62
71cb7dc23780e8cef2c6833afa8bfd1a,278.64
a67b3e9820e9b826941981f73f066d05,457.97
e808c90cd01406585dcbc844f96ab4e9,359.75
a0b746a2fc55881a330aa070b00497d4,295.38
8234e7a65ea3cdf57508e232cb4f58d1,439.81
1300c72423ed68023f9793fe9d024038,211.65
f9bd6442b3bde0f8ee1fe2156a6477dc,364.62
b8a99ba60cae1e5d3eaafc8bbeaa44cf,165.07
09e7e52020bfead9c50283023754727b,135.95
b6cf1ed99599b07e359fb2612c2462da,319.41
a9c834c3ff6e958a2d3c60033726b793,84.15
456bdaea194b7b47db8156a59e4da2c5,509.52
58c04ef8c665f7f0897cac252bd800b5,513.72
f86bb5c4246fb502d159dd2c2571a7a4,173.71
455ee2a219965da7526e2a167853e3d9,191.7
9ace07b312f206ef7af2f48188360b16,306.55
af7f974d395a4adddc8ab17a83996073,183.48
ae849c393655910a93279697dfd2f41d,429.34
310cb4c79ef141136b78053252398985,424.58
6cc6cf1f96405aeb2187ef91cb6a4009,234.03
3648f1f1247462252aefec619f2fae64,333.42
d2071c7b96ccdd0e23d4491d5d73d9ba,345.91
0fca720c83a20f7f881fadfa031593a6,423.67
0f81c59363f9d8e1c3f3208c01af3b50,277.18
e8dc9ea3ca8db58ed27a96d5726f6e25,77.37
e5e02f30a4a62f9375195c09026dde2c,199.02
35471e33590018124ebd6d70998430d5,129.78
6f399dd36dd9f948742f02d850956efd,186.15
9801856c5fc816c1e95f7ee4dae2f92b,524.75
bc6d0f95e22438718f39b86673d80ee8,317.3
b4388e6889f78685e4ffe6871b56a6a2,431.15
12d80cac55fe5eac6b64ed67c60b2312,449.45
b4f801ddfb9f94452cf55eb247e12fa6,186.29
e92a3e6bc9c3039b24e1810ba9bf3813,264.1
a4680c2d6d716f3b311e5817bcb81702,192.75
7fb29805973a8a396c6de3faa8290ac1,382.08
74b30f4fafbe2473f2ff93c66c0bedf3,258.41
29f52e6f78f5f97b9b1c917381d1c3b3,392.12
6c39840ebb1156a497b9af0c42ea68f6,242.28
4d3446ff58072c96c49bf42354626e05,443.01
bf5467ba8b99178f3f393844f7e13b24,516.39
1c2b20766589699466df6dbfcd2d1366,127.34
88cf00f2bfbb3b67ecfa6a94cc5ade9e,293.45
e4f89fb3aeb6b47e4f7481e209bf32a9,265.24
85cd6aeb1c9d6a25bed679880ad4d3ae,279.55
8020aa169dbb522a224f4a97fa4d8b43,164.98
a1c079c25a5b8403e6aa74d297f2a425,29.93
eab194cd8514cca8e8367a67cc6cec86,131.36
2eae274705ed306dae506f5ccd16f2c7,552.68
7ebb555d5d9570467432ece61bac92ea,334.44
597a2bf0fb8f2baf6f08ef6f0816aec3,364.0
8e9b5664e90d6e67e137ac1244079664,200.27
